"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Australia","AUS","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","585.893280795779","606.856630878465","610.639633183573","611.725678257636","611.734984181153","639.19012123503","648.6365814863","665.034100929205","650.079284520357","655.849085318649","646.078691090601","628.34067339528","614.951997249538","603.649863831554","596.9712471785","580.682165372315","550.16393281372","550.831897404363","557.337671346632","550.491124135931","527.950186128816","524.116486128816","512.388986128816","","",
"Austria","AUT","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.0864901422535","58.8525001283718","76.9462635582812","80.3445937041338","73.0656876052355","77.6369800811036","84.5479587046956","84.8091512696774","77.7418411713197","74.5492154521953","69.0235780869086","71.6873298382657","77.9139935692032","78.258708077793","73.2617217577661","75.4591223009363","75.5783210004487","81.7674497012827","86.9828659985334","85.4464460294606","71.9095156988954","70.1833285442051","64.8676285442051","","",
"Azerbaijan","AZE","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.5688","35.9376","35.7991","38.6173","38.6257","41.51637","43.28207","43.73677","48.26917","42.64427","41.59092","43.99473","47.08202","48.32948","50.13287","49.99648","49.76228","49.52258","50.23498","53.01428","51.35848","53.62018","55.66028","","",
"Burundi","BDI","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.9914","-1.041","-1.0711","-1.0311","-0.879","-0.7642","-0.5585","0.9935","2.2964","2.4999","2.8015","3.0489","3.2567","4.5013","4.4326","4.4187","4.7278","5.3604","5.5756","5.2231","5.1496","5.9484","6.1092","","",
"Belgium","BEL","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149.470358084729","149.815169926668","141.360869508416","145.15547867451","144.314222614823","141.218291748878","137.741317708138","135.318272345521","137.20986950342","129.927453238702","139.164010622337","128.875794465498","127.022403660553","127.79029861837","121.003702151753","125.776595515837","124.875937741412","122.979390205005","123.465244434497","123.127941826167","115.37880559588","119.325087546628","111.852087546628","","",
"Benin","BEN","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.25959","4.32709","5.31179","6.19919","7.04929","6.99748","8.75088","9.96098","10.57838","11.60958","6.84559","7.98253","7.6437","8.82063","8.961","9.64339","11.34539","11.68379","13.18799","13.20759","13.69299","12.05879","12.65519","","",
"Burkina Faso","BFA","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.0759931373125","42.6476827451484","44.0230723529844","48.2899619608203","49.5630515686563","51.1439411764922","52.5724307843282","54.448420392164","56.4467100000001","57.77091","60.03726","61.73944","61.86131","65.25418","64.6613299999999","68.32917","69.05147","70.12157","71.23767","72.58207","68.96367","73.78347","74.15997","","",
"Bangladesh","BGD","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146.386253","152.755153","156.666553","159.818853","160.751053","166.384353","171.508953","176.337053","186.875553","192.128153","200.502653","205.452953","210.381253","213.243253","219.952553","228.939053","235.993053","247.944553","252.938353","256.221253","251.933553","269.785353","278.863153","","",
"Bulgaria","BGR","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.9475999340568","49.6957814409282","46.0377422241012","52.4903449224789","50.0207330030881","49.4506988627881","54.0696516720694","56.7035616368406","55.2756604989423","46.8834886066978","50.2518197873474","59.1877787952365","54.3540943967447","50.2027025584136","51.5665880311464","55.9075762649843","51.6022145263602","54.0302546868014","50.2385544262104","48.8058165704902","43.9072145828663","50.4370417976031","54.6397417976031","","",
"Bahrain","BHR","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.5611","38.5842","38.0876","37.7342","37.6694","41.1268","42.7441","43.8542","47.3435","47.9264","48.2684","48.6367","52.3998","56.969","58.8021","58.9858","59.2182","59.0537","59.1128","62.9953","63.1595","63.3628","62.4805","","",
