"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3963620981387","14.9874493927126","17.1338439095551","17.5109023817511","15.5483138780804","13.1759545308158","13.0540690696972","13.2416208673862","14.8922098082515","15.5965082540353","16.2974611255338","17.6558632372378","17.4795502921148","16.1823488793703","13.0430359920285","11.5460620013165","12.3664483303712","10.0760634560669","10.7496624410616","10.799498200524","12.4688230870932","12.7138223459928","12.3948233277596","11.3581680555627","11.3720370882194","","","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","27.1052783084776","28.6833617026918","27.6744039735632","24.9550266060392","26.610932157556","28.029161056033","28.1140794892289","27.914253077706","27.855446075537","26.7480057266973","29.0485677711337","27.8649631465824","27.9770216652112","27.4961468263248","27.4889928218863","26.5159553063558","25.9129672139631","25.7431433175717","26.7415126556347","26.7868001128887","27.3859801763317","26.6436209445758","26.9355433032625","27.8736794924683","27.9721466417964","29.1580062134308","30.597168963261","26.6991165354865","27.6421590950563","28.7747127483005","28.5566138366394","27.8430859878714","27.1844253968136","25.2160997556521","25.0312831523713","26.2854839868401","27.85973207421","26.4217512652571","25.4342352479454","26.0752669015632","26.9219185936063","25.1278965460593","",
"Afghanistan","AFG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8101270064854","22.7108641828326","26.2267897500666","26.8120992326398","28.2107680719994","26.8822416082148","26.9156280026285","21.8971222069406","21.1514206977128","22.7402524820273","21.1578071539751","20.4446053132561","21.2296632181805","22.1240424906926","10.4668076938201","10.0518739969063","13.3872469597976","14.0581123697768","12.9525996015547","14.2736570191788","16.0503677223963","13.5231032701819","",
"Africa Western and Central","AFW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","38.202782574695","33.8822329440494","31.4910650274336","27.6198851525146","28.8645431030317","30.8967011373062","30.2494125289467","29.1246677417767","30.8210801546285","32.2681371713756","32.7254187462267","32.1774461538449","30.8174711645779","31.519761040069","35.7673334130932","36.4131862356494","34.9444502293171","29.3084968478861","27.9007100822775","31.8612449722632","27.827602245031","25.134547673778","27.2029395083089","28.9863939226345","29.3878428684055","27.9835137267508","26.8530256500194","27.9051608407913","24.4112724663453","27.142703910782","30.1151543941811","29.4902386265756","28.5524869345679","27.1705864352718","22.9085205219092","21.4061111399574","24.2821188314794","26.681098921084","27.540741690039","27.2561312220976","29.5382847387866","30.3356274067663","30.152449780716","",
"Angola","AGO","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2851757873636","67.8206759362436","60.757741389497","55.1572893027623","72.7173723137849","72.1229549419033","64.8838115415289","56.0757965388459","53.1169977877105","54.6299332781384","60.4019934569532","58.109331166465","61.8835378515421","60.2548203971699","44.0563741288187","52.3684375791632","56.0265138898967","56.9182189644947","53.3628521772331","46.2033255675024","41.9330921928439","42.6435678702129","42.1679537698985","47.9315418514046","49.7609216143959","45.6782423367558","47.5244095549704","45.180052903576","45.2629187172157","",
"Albania","ALB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3738406921901","18.1097656674433","15.3468382322371","16.5367430578412","19.3956891374484","21.7357737789933","23.10636959577","24.055608509483","24.6655622675068","25.0816065897088","25.3080259185205","25.3403319220157","25.1610103305709","24.4137783931968","24.9374619346668","24.4844782196853","22.9185533432722","23.0613168520051","21.5088457362369","21.7636809971645","21.1419653523072","20.3584083577153","23.7535862152793","22.9655306366233","23.4687164167083","22.4341151172329","23.0250575763314","23.0184724953671","",
"Andorra","AND","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8437550367806","14.9240176087095","15.0672890885022","15.4949366544165","15.7803540103879","16.0357828783728","16.1672951911525","15.4735314793076","15.4327671138582","14.7664887100921","13.1256460606154","11.908853107908","11.0715796683925","10.6182471491429","10.1535313011382","9.98126871637019","10.1407794073814","10.3955176672591","11.0763337210625","11.6998176283166","12.6601582717327","12.3626363853047","11.1453411041301","12.4282261796617","",
"Arab World","ARB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","55.8124784931027","57.4199537351206","55.6900717228707","51.9555448889605","57.7964236859431","63.3605580235171","61.3331391694054","52.6088974564579","45.1211913222556","43.0365606163169","39.9001863594189","34.7413704256202","35.9190491869446","36.3808303597887","38.3365677041915","57.7427078567465","40.1700421002246","43.4245168903074","40.5626031905955","40.340386076546","42.6425540395363","43.9158506183288","44.6583201548822","39.8745883380027","43.7710094753879","50.00932693202","46.7539655739842","46.8001611269655","47.4075405633055","49.6193400566122","53.4221519332612","54.6350751204725","53.4264575644431","56.1531287807631","47.7220083025649","50.2325318341169","53.6134413074457","54.3957576997043","52.2354813590732","49.7303736373091","40.56329062449","38.2485823691242","40.9073562899985","44.6725476603485","42.6213549054512","36.7969027030173","42.3318767255513","48.7236923509149","43.5340291837494","",
"United Arab Emirates","ARE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","73.995507005299","71.8147226501297","67.9817061865227","68.058799882661","71.3555523848691","72.6636063301946","68.3633070683534","63.1520519771899","61.4041786789367","62.8107143089844","61.2521468441391","52.1543733498118","54.6811011537108","53.0142376546918","55.0769292067955","58.9023505708529","46.7783014879946","55.2980232231106","51.4799216454456","46.2603750878466","45.5451739211502","46.3670023696682","45.4284115017034","40.0235324596818","42.0206625694073","48.5170116316395","49.6763412859899","47.5457475824448","49.1210129154604","51.6783480847693","55.6434763024807","57.903111718071","54.840228590251","58.0179784435584","52.044956000368","51.6784594828584","57.0771206726912","56.5680617402564","54.2038149782479","51.9897136679655","43.3542449304817","41.0285717311933","42.5280347654664","46.9189575898931","44.5245160401163","42.1740430729015","47.1393240178447","51.0833289566475","47.7236418303746","",
"Argentina","ARG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","48.4144764220088","49.605814661101","47.3834143823114","47.0360652886282","47.3861283042889","42.278789634459","45.9547284532329","45.581648950747","43.3522399337902","43.5928026239928","50.141323678472","50.8936968299416","47.8061321932459","46.0976480128857","44.0281237970279","41.2196656668996","40.3382267072576","41.1028486443199","41.5563065120102","39.70818793304","39.2761545711593","37.3804348914774","37.8286752699048","38.4866110820983","42.3478130695861","36.0218813478135","32.7225282556322","30.6839549022114","27.338739645861","26.7545586932878","26.3012103355498","26.5925606398683","27.1791508883114","26.7121357626278","26.1936304991129","25.9908360111364","25.2434339827333","30.5577370913046","32.6450990996503","28.816922006834","28.6263140439084","29.2032796652469","27.4152361334783","26.2724599395946","25.2842047993735","25.2587762576722","25.2126976058843","24.4290570649122","24.0058814423072","24.2773944936602","23.153056135905","22.0541072112108","21.782123219335","23.7195923321304","23.1578477391434","22.4088763711802","23.4994644263761","24.0075527787773","25.0563816101503","",
